"building","numTestDays","numTrainDays","mapeEV.avgError","mapeEV.avgError.1","mapeEV.avgError.2","mapeEV.avgError.3","mapeEV.avgError.4","mapeEV.avgError.5","mapeEV.avgError.6","mapeEV.avgError.7","mapeEV.avgError.8","mapeEV.avgError.9","mapeEV.avgError.10","mapeEV.avgError.11","mapeEV.avgError.12","mapeEV.avgError.13","mapeEV.avgError.14","mapeEV.avgError.15","mapeEV.avgError.16","mapeEV.avgError.17","mapeEV.avgError.18","mapeEV.avgError.19","mapeEV.avgError.20","mapeEV.avgError.21","mapeEV.avgError.22","mapeEV.avgError.23","mapeEV.avgError.24","mapeEV.avgError.25","mapeEV.avgError.26","mapeEV.avgError.27","mapeEV.avgError.28","mapeEV.avgError.29","mapeEV.avgError.30","mapeEV.avgError.31","mapeEV.avgError.32","mapeEV.avgError.33","mapeEV.avgError.34","mapeEV.avgError.35","mapeEV.avgError.36","mapeEV.avgError.37","mapeEV.avgError.38","mapeEV.avgError.39","mapeEV.avgError.40","mapeEV.avgError.41","mapeEV.avgError.42","mapeEV.avgError.43","mapeEV.avgError.44","mapeEV.avgError.45","mapeEV.avgError.46","mapeEV.avgError.47","mapeEV.avgError.48"
"JHH",2,5,1.91770845088649,1.91770845088649,1.93709684071694,1.92721509024299,1.92533822911674,1.92535213481824,1.92691184453917,1.9259192264405,1.92601479085491,1.92599372953749,1.92573369924936,1.9221872731546,1.92278172506889,1.92261333069766,1.92264488311012,1.92228973936454,1.92230048690247,1.92076818091494,1.92004182907606,1.91908107910284,1.91950104167873,1.92022201841333,1.92024744368902,1.92148759336021,1.92212171857188,1.92289716585399,1.92307562744416,1.92349948017489,1.92615448604566,1.92589889575575,1.92606202367883,1.92576805006768,1.9258290824822,1.92169892197933,1.92161866549564,1.92169178691698,1.92118249176831,1.92212357918353,1.92146989687979,1.92120280102918,1.92118013451839,1.92061737066875,1.91776694981146,1.91799498887641,1.92099091186848,1.92064983270733,1.92190479319015,1.9226862053256,1.92230961953203
"JKP",4,7,3.62317979666563,3.62317979666563,3.58547801521012,3.57116547262559,3.44292503956951,3.40523988516742,3.40546245716598,3.40552673285068,3.4133649101962,3.41338352275402,3.41643786815578,3.41645434183143,3.41730240271426,3.43570360147526,3.43864143813478,3.43748433097874,3.4374626599868,3.43700197165681,3.43054955208317,3.43503348402423,3.44181575208957,3.45812512753513,3.45669735545054,3.45588270842472,3.4557773349408,3.45989549183103,3.46192520876348,3.46210720153082,3.46560484764603,3.46490620985072,3.46565761585883,3.46603235717475,3.47150910394503,3.47064057227996,3.47169140769511,3.47236757520553,3.4726127391706,3.47648033865056,3.48339277987102,3.48698367912079,3.48606175542269,3.48658509566224,3.48838464401223,3.48931545847399,3.48877597240423,3.49062268914112,3.49112942054288,3.49527316393552,3.49152806372315
"KAP",12,23,6.57298275590284,6.57298275590284,6.57431773063308,6.59349092445259,6.57910033544537,6.57223422416765,6.57596114265948,6.56205436901196,6.56311143676,6.56658022188461,6.56605278525135,6.56542783931346,6.56745786589601,6.56950981292128,6.56857666292646,6.56837916722121,6.56751737776345,6.56626704116101,6.56593743518677,6.56533174963733,6.56544420022541,6.56526642646183,6.56530489064522,6.56505035935454,6.56516822611825,6.56518971104188,6.56514678747156,6.56504238756514,6.56500114730669,6.56454387496777,6.56445786922333,6.5648889036862,6.56486961110007,6.56487676419709,6.56485070543474,6.56440926027722,6.56471635289768,6.56483715566477,6.56448356890101,6.56432354492251,6.56429697049448,6.56466028139621,6.56471530179803,6.56363350147791,6.56357828462005,6.56360229372392,6.56397357277895,6.56415322469894,6.56381692756098
"LAW",4,8,5.80110385105279,5.80110385105279,5.76863450574426,5.77622672284374,5.76399604512399,5.8023830615401,5.77342747078962,5.77514167182348,5.77864335493697,5.77925255527558,5.77978124660899,5.77886031577097,5.77902500163552,5.77885984280482,5.78033093758782,5.77861171314963,5.77894054566049,5.77483188233983,5.7731914570741,5.77189953446028,5.7731791907267,5.77519286000105,5.7768767274046,5.77741068820818,5.78655430451843,5.78847266973904,5.78840494830168,5.78742395654294,5.78736442820292,5.78725909987123,5.78682161332094,5.7869727058501,5.78812694729649,5.78809666357053,5.79089355121237,5.79091786088433,5.79042928667351,5.79515614952006,5.79568810837016,5.7959144358753,5.79354307206743,5.79237635111689,5.79339590704492,5.79305132257517,5.79066522650506,5.79526003761852,5.79554041788148,5.79553840744827,5.79847927295056
"LRC",12,24,16.4626208317049,16.4626208317049,15.4035632780139,16.0234465597581,15.8643150777537,15.5708586123868,15.5356918464236,15.6165454398761,15.5682664481046,15.6097120855123,15.663771506141,15.7189208091965,15.7173339902084,15.7283749166661,15.7443601913852,15.7521172939873,15.7740615768551,15.79942319943,15.7936355372843,15.7973039647565,15.8150647814865,15.8068558862175,15.8073623278321,15.802853423508,15.806438125086,15.8044884124287,15.8017724498917,15.8006247292045,15.800255315671,15.7996411425842,15.7994486291636,15.7984297967432,15.7965036946813,15.7947496347049,15.7948541065445,15.8052885076493,15.810336898852,15.8106192763022,15.8042961829546,15.8033068767296,15.803992578729,15.7908683373593,15.7902833472552,15.786214827663,15.7889880486904,15.7885534673969,15.7830749960648,15.7853422229586,15.7902400352132
"LVL",17,35,31.2773147041742,31.2773147041742,31.2387218243246,31.2376738203812,31.2830736427035,31.3094233124571,31.3019546257574,31.2866400687135,31.3065348527638,31.2999936332048,31.299780236033,31.3012195189867,31.3019271881621,31.2908810488881,31.2971414079299,31.2974055131235,31.2956577184916,31.2942084275971,31.2943085751002,31.2944135322558,31.2948257367668,31.2947480024066,31.2946651632218,31.2951033694977,31.2949531181151,31.2956550354422,31.2955520850137,31.2955606104654,31.2956107741471,31.2985071601902,31.2984842599451,31.298293721156,31.2985845383349,31.2983119113606,31.2985447548981,31.2985572991875,31.2986041034595,31.2985914282994,31.2996423015138,31.2997874546228,31.2998204793762,31.2997709724489,31.3000326112749,31.3001031854102,31.3000613333158,31.2998634904907,31.2998556714952,31.3003257848013,31.3003640378327
"MHP",10,21,0.163410211112533,0.163410211112533,0.226870818987654,0.217674164199005,0.200579308196565,0.227030908954251,0.210873863377881,0.207699739469597,0.204587441473576,0.203855859819035,0.204019799472685,0.204905453285356,0.196829467942915,0.196082096240807,0.193797444306298,0.193932979205967,0.194368856189926,0.193854552009015,0.194499733264139,0.19366200279545,0.193934037471353,0.193778746054782,0.193990125992857,0.194178526879016,0.194025268319821,0.194007301993494,0.193822995825169,0.194464022388099,0.194344003160373,0.194692688200862,0.194772687763073,0.194627572346664,0.194635211350825,0.194489994993121,0.195608395646095,0.194669208283627,0.194626527209666,0.19374476633217,0.193477170637595,0.192564414602752,0.192784181684633,0.193062131781479,0.193723322277864,0.19258835011306,0.193006996072116,0.193163642369124,0.192578567148923,0.194255582958007,0.194365456277039
"MRF",5,10,1.59553667984559,1.59553667984559,1.50561798562394,1.51555594052787,1.49784023578527,1.48978619632832,1.46286597180937,1.45862247337528,1.47419896813107,1.47401434647741,1.4693399109873,1.46970286925955,1.47112974373597,1.47199836277377,1.47391236967089,1.47741471183608,1.47994352386419,1.4831969234557,1.48174074677614,1.48220539078392,1.47367510821576,1.46960271144396,1.46971010146184,1.46814851971895,1.46941633512732,1.47371902703789,1.47173694493716,1.4809742271258,1.48341449228091,1.47678281112393,1.49484065440322,1.49439569730188,1.48684487560365,1.49251805382464,1.49389856392487,1.49135425496122,1.49061812726227,1.48911228342743,1.48984473001952,1.49042995396757,1.49151271164459,1.49071197617905,1.48876987890293,1.48623645613917,1.48962505320566,1.48941275162938,1.49064844412557,1.49065385788977,1.49169093588416
"OHE",10,19,2.50337834334125,2.50337834334125,2.50907506283951,2.50912513748714,2.50122639057875,2.51364727045771,2.52700276770052,2.52770685450217,2.52791350212597,2.51911967392773,2.51999240189389,2.51992243120322,2.51818048804396,2.5176934301125,2.51679450175751,2.51677759173232,2.51665238850005,2.51586587032686,2.51653450175333,2.51618899742658,2.51613974281055,2.51600487723193,2.51593038979156,2.51562175606974,2.51610874847716,2.5158785151327,2.51642649721183,2.51599689495142,2.51612309676098,2.51685046651234,2.51678062772753,2.51681332046054,2.51707944876095,2.51753283898615,2.51777384083387,2.51776368943962,2.51780456467017,2.51769518926193,2.51792336396985,2.5175567720565,2.51756949127874,2.51767136982491,2.51803200040159,2.51800190175934,2.51850334340148,2.51845789707546,2.51670675787191,2.51681694856589,2.51692018310444
"SAL",11,21,2.18382613638461,2.18382613638461,2.18732544355271,2.21187082888715,2.22587492412469,2.24264661109574,2.24249487381594,2.24076589358608,2.24135425138093,2.24264391427593,2.24412355946729,2.2441707596368,2.24315191164785,2.24358567032558,2.24486267365925,2.24538483785913,2.24540225723573,2.24535350321066,2.24534129750248,2.24525702843321,2.2452578462831,2.24521192585952,2.24527170424593,2.24540041260415,2.24540941046858,2.24540796302588,2.24543136004832,2.24563450150747,2.24562067597148,2.24562159222662,2.24562701056653,2.2460072802441,2.24607153939828,2.24609031634436,2.24616828733089,2.24591514160021,2.24577087799853,2.24580022291338,2.24585320159427,2.24602047145793,2.24609125485834,2.24627498907324,2.24603123726484,2.24600944713828,2.24618514813944,2.24608281852215,2.24622658795642,2.24621591727873,2.2462558945152
